[2026-07-07 15:50:35,862 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 76ms |  | 
[2026-07-07 15:50:35,886 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 0ms |  | 
[2026-07-07 15:50:35,942 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 11ms |  | 
[2026-07-07 15:50:41,250 root/INFO]: 127.0.0.1 - "GET /pitches/6 HTTP/1.1" - 200 - | 26ms |  | 
[2026-07-07 15:50:41,455 root/WARNING]: 127.0.0.1 - "GET /static/js/pitch.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:50:41,462 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:50:41,515 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:50:41,516 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:51:31,948 root/INFO]: Logging initialized
[2026-07-07 15:53:02,685 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 19ms |  | 
[2026-07-07 15:53:02,983 root/WARNING]: 127.0.0.1 - "GET /static/js/index.js HTTP/1.1" - 304 - | 209ms |  | 
[2026-07-07 15:53:02,985 root/INFO]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 200 - | 227ms |  | 
[2026-07-07 15:53:02,989 root/WARNING]: 127.0.0.1 - "GET /static/images/logo.svg HTTP/1.1" - 304 - | 2ms |  | 
[2026-07-07 15:53:03,006 root/WARNING]: 127.0.0.1 - "GET /static/js/cookie.js HTTP/1.1" - 304 - | 1ms |  | 
[2026-07-07 15:53:03,058 root/INFO]: 127.0.0.1 - "GET /pitches HTTP/1.1" - 200 - | 24ms |  | 
[2026-07-07 15:53:09,539 root/INFO]: 127.0.0.1 - "GET / HTTP/1.1" - 200 - | 1ms |  | 
[2026-07-07 15:53:09,609 root/WARNING]: 127.0.0.1 - "GET /static/css/style.css HTTP/1.1" - 304 - | 1ms |  | 
